"year","country","Biofuel Production - Daily Average","Biofuel Production - Oil Equivalent","Carbon Dioxide (CO2) Emmissions","Coal Consumption - Oil Equivalent","Coal Production","Coal Production - Oil Equivalent","Electricity Generation","Geothermal and Biomass Power Consumption","Geothermal and Biomass Power Consumption - Oil Equivalent","Geothermal Power Capacity","Hydroelectric Consumption","Hydroelectric Consumption - Oil Equivalent","Natural Gas Consumption","Natural Gas Consumption - Daily Average","Natural Gas Consumption - Oil Equivalent","Natural Gas Production","Natural Gas Production - Daily Average","Natural Gas Production - Oil Equivalent","Nuclear Power Consumption","Nuclear Power Consumption - Oil Equivalent","Oil Consumption","Oil Consumption - Daily Average","Oil Production","Oil Production - Daily Average","Oil Refinery Capacity","Oil Refinery Throughputs","Primary Energy Consumption - Oil Equivalent","Proved Natural Gas Reserves","Proved Oil Reserves","Solar Power Capacity","Solar Power Consumption","Solar Power Consumption - Oil Equivalent","Wind Power Capacity","Wind Power Consumption","Wind Power Consumption - Oil Equivalent"
1996,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"New Zealand",NA,NA,14.86,1.64,NA,NA,NA,1.35,0.31,NA,10.02,2.27,0,0,0,NA,NA,NA,0,0,2.72,57.21,NA,NA,NA,NA,6.94,NA,NA,NA,0,0,NA,0,0
1966,"New Zealand",NA,NA,15.59,1.6,NA,NA,NA,1.36,0.31,NA,10.81,2.44,0,0,0,NA,NA,NA,0,0,3.01,63.25,NA,NA,NA,NA,7.37,NA,NA,NA,0,0,NA,0,0
1967,"New Zealand",NA,NA,15.52,1.46,NA,NA,NA,1.13,0.26,NA,11.22,2.54,0,0,0,NA,NA,NA,0,0,3.17,66.34,NA,NA,NA,NA,7.43,NA,NA,NA,0,0,NA,0,0
1968,"New Zealand",NA,NA,15.43,1.38,NA,NA,NA,1.29,0.29,NA,11.77,2.66,0,0,0,NA,NA,NA,0,0,3.25,67.97,NA,NA,NA,NA,7.59,NA,NA,NA,0,0,NA,0,0
1969,"New Zealand",NA,NA,15.95,1.41,NA,NA,NA,1.33,0.3,NA,11.64,2.63,0,0,0,NA,NA,NA,0,0,3.38,70.9,NA,NA,NA,NA,7.72,NA,NA,NA,0,0,NA,0,0
1970,"New Zealand",NA,NA,18.02,1.41,NA,NA,NA,1.27,0.29,NA,12.67,2.87,0.11,0.01,0.1,NA,NA,NA,0,0,3.98,82.89,NA,NA,NA,NA,8.64,NA,NA,NA,0,0,NA,0,0
1971,"New Zealand",NA,NA,17.86,1.25,NA,NA,NA,1.26,0.28,NA,14.39,3.26,0.14,0.01,0.13,NA,NA,NA,0,0,4.1,85.5,NA,NA,NA,NA,9.03,NA,NA,NA,0,0,NA,0,0
1972,"New Zealand",NA,NA,19.19,1.29,NA,NA,NA,1.26,0.28,NA,15.26,3.45,0.26,0.02,0.23,NA,NA,NA,0,0,4.42,91.68,NA,NA,NA,NA,9.67,NA,NA,NA,0,0,NA,0,0
1973,"New Zealand",NA,NA,20.76,1.46,NA,NA,NA,1.24,0.28,NA,15.1,3.42,0.3,0.03,0.27,NA,NA,NA,0,0,4.68,96.93,NA,NA,NA,NA,10.1,NA,NA,NA,0,0,NA,0,0
1974,"New Zealand",NA,NA,20.29,1.5,NA,NA,NA,1.67,0.38,NA,15.19,3.44,0.31,0.03,0.28,NA,NA,NA,0,0,4.46,92.23,NA,NA,NA,NA,10.06,NA,NA,NA,0,0,NA,0,0
1975,"New Zealand",NA,NA,19.44,1.41,NA,NA,NA,1.7,0.38,NA,16.66,3.77,0.34,0.03,0.3,NA,NA,NA,0,0,4.28,89.09,NA,NA,NA,NA,10.15,NA,NA,NA,0,0,NA,0,0
1976,"New Zealand",NA,NA,21.22,1.45,NA,NA,NA,1.65,0.37,NA,15.5,3.51,0.9,0.09,0.81,NA,NA,NA,0,0,4.42,91.37,NA,NA,NA,NA,10.56,NA,NA,NA,0,0,NA,0,0
1977,"New Zealand",NA,NA,22.16,1.39,NA,NA,NA,1.58,0.36,NA,14.72,3.33,1.47,0.14,1.33,NA,NA,NA,0,0,4.42,92.03,NA,NA,NA,NA,10.82,NA,NA,NA,0,0,NA,0,0
1978,"New Zealand",NA,NA,20.85,1.28,NA,NA,NA,1.6,0.36,NA,15.66,3.54,1.38,0.13,1.24,NA,NA,NA,0,0,4.19,88.06,NA,NA,NA,NA,10.62,NA,NA,NA,0,0,NA,0,0
1979,"New Zealand",NA,NA,19.47,1.14,NA,NA,NA,1.48,0.33,NA,18.44,4.17,0.91,0.09,0.82,NA,NA,NA,0,0,4.24,89.03,NA,NA,NA,NA,10.71,NA,NA,NA,0,0,NA,0,0
1980,"New Zealand",NA,NA,19.03,1.17,NA,NA,NA,1.57,0.36,NA,19.36,4.38,0.85,0.08,0.76,NA,NA,NA,0,0,4.1,86.27,NA,NA,NA,NA,10.78,NA,NA,NA,0,0,NA,0,0
1981,"New Zealand",NA,NA,18.76,1.17,2.2,1.24,NA,1.54,0.35,NA,19.68,4.45,1.04,0.1,0.94,NA,NA,NA,0,0,3.89,82.52,NA,NA,NA,NA,10.8,NA,NA,NA,0,0,NA,0,0
1982,"New Zealand",NA,NA,20.4,1.14,2.24,1.26,NA,1.57,0.35,NA,18.3,4.14,1.88,0.18,1.69,NA,NA,NA,0,0,3.88,82.68,NA,NA,NA,NA,11.21,NA,NA,NA,0,0,NA,0,0
1983,"New Zealand",NA,NA,20.73,1.27,2.47,1.4,NA,1.58,0.36,NA,19.75,4.47,2.04,0.2,1.83,NA,NA,NA,0,0,3.72,79.65,NA,NA,NA,NA,11.65,NA,NA,NA,0,0,NA,0,0
1984,"New Zealand",NA,NA,21.74,1.18,2.53,1.44,NA,1.73,0.39,NA,20.38,4.61,2.61,0.25,2.35,NA,NA,NA,0,0,3.76,80.92,NA,NA,NA,NA,12.29,NA,NA,NA,0,0,NA,0,0
1985,"New Zealand",NA,NA,22.42,1.09,2.39,1.38,28.3,1.61,0.36,NA,19.71,4.46,3.33,0.32,3,NA,NA,NA,0,0,3.61,78.4,NA,NA,NA,NA,12.52,NA,NA,NA,0,0,NA,0,0
1986,"New Zealand",NA,NA,24.71,1.25,2.52,1.44,29.09,1.68,0.38,NA,22.1,5,4.01,0.39,3.61,NA,NA,NA,0,0,3.67,80.22,NA,NA,NA,NA,13.92,NA,NA,NA,0,0,NA,0,0
1987,"New Zealand",NA,NA,24.18,1.04,2.22,1.25,29.64,1.67,0.38,NA,21.93,4.96,3.88,0.38,3.49,NA,NA,NA,0,0,3.86,84.46,NA,NA,NA,NA,13.74,NA,NA,NA,0,0,NA,0,0
1988,"New Zealand",NA,NA,25.68,1.13,2.44,1.41,30.91,1.68,0.38,NA,22.96,5.2,4.21,0.41,3.79,NA,NA,NA,0,0,4,87.07,NA,NA,NA,NA,14.5,NA,NA,NA,0,0,NA,0,0
1989,"New Zealand",NA,NA,26.74,1.23,2.71,1.59,31.18,2.15,0.49,NA,22.56,5.1,4.32,0.42,3.89,NA,NA,NA,0,0,4.14,90.27,NA,NA,NA,NA,14.86,NA,NA,NA,0,0,NA,0,0
1990,"New Zealand",NA,NA,28.44,1.2,2.58,1.5,32.15,2.61,0.59,292,23.19,5.25,4.3,0.42,3.87,NA,NA,NA,0,0,4.76,102.71,NA,NA,NA,NA,15.66,NA,NA,NA,0,0,NA,0,0
1991,"New Zealand",NA,NA,28.47,1.14,2.69,1.57,33.35,2.79,0.63,NA,22.89,5.18,4.68,0.45,4.21,NA,NA,NA,0,0,4.58,99.46,NA,NA,NA,NA,15.74,NA,NA,NA,0,0,NA,0,0
1992,"New Zealand",NA,NA,29.88,1.26,3.02,1.79,32.73,2.76,0.62,NA,21.09,4.77,4.96,0.48,4.47,NA,NA,NA,0,0,4.69,101.61,NA,NA,NA,NA,15.82,NA,NA,NA,0,0,NA,0,0
1993,"New Zealand",NA,NA,29.03,1.24,3.34,2.02,34.09,2.88,0.65,NA,23.49,5.32,4.83,0.47,4.34,NA,NA,NA,0,0,4.54,99.18,NA,NA,NA,NA,16.09,NA,NA,NA,0,0,NA,0,0
1994,"New Zealand",NA,NA,30.15,1.17,3.03,1.85,34.92,2.74,0.62,NA,25.84,5.85,4.5,0.44,4.05,NA,NA,NA,0,0,5.21,112.63,NA,NA,NA,NA,16.9,NA,NA,NA,0,0,NA,0,0
1995,"New Zealand",NA,NA,31.12,1.21,3.58,2.27,36,2.68,0.61,292,27.53,6.23,4.25,0.41,3.83,NA,NA,NA,0,0,5.65,121.19,NA,NA,NA,NA,17.52,NA,NA,NA,0,0,NA,0,0
1996,"New Zealand",NA,NA,31.96,1.18,3.61,2.32,36.4,2.63,0.59,NA,26.18,5.92,4.86,0.47,4.37,NA,NA,NA,0,0,5.55,118.94,NA,NA,NA,NA,17.62,NA,NA,NA,0,0,NA,0.01,0
1997,"New Zealand",NA,NA,34.06,1.26,3.57,2.18,37.15,2.72,0.61,NA,23.26,5.26,5.2,0.5,4.68,NA,NA,NA,0,0,5.89,125.47,NA,NA,NA,NA,17.71,NA,NA,NA,0,0,4,0.01,0
1998,"New Zealand",NA,NA,32.67,1.15,3.13,1.9,37.33,3.09,0.7,NA,25.32,5.73,4.62,0.45,4.16,NA,NA,NA,0,0,5.98,127.51,NA,NA,NA,NA,17.72,NA,NA,NA,0,0,25,0.02,0
1999,"New Zealand",NA,NA,34.44,1.18,3.51,2.19,37.8,3.31,0.75,NA,22.92,5.19,5.34,0.52,4.81,NA,NA,NA,0,0,6.02,128.65,NA,NA,NA,NA,17.95,NA,NA,NA,0,0,35,0.04,0.01
2000,"New Zealand",NA,NA,35.24,1.12,3.46,2.18,39.27,3.48,0.79,436,24.43,5.53,5.62,0.54,5.06,NA,NA,NA,0,0,6.17,131.49,NA,NA,NA,NA,18.69,NA,NA,NA,0,0,35,0.12,0.03
2001,"New Zealand",NA,NA,37.08,1.4,3.91,2.48,39.69,3.3,0.75,436,21.68,4.91,5.91,0.57,5.32,NA,NA,NA,0,0,6.21,133.1,NA,NA,NA,NA,18.61,NA,NA,NA,0,0,35,0.14,0.03
2002,"New Zealand",NA,NA,37.14,1.4,4.46,2.85,40.63,3.18,0.72,436,24.87,5.63,5.62,0.54,5.06,NA,NA,NA,0,0,6.42,137.94,NA,NA,NA,NA,19.26,NA,NA,NA,0,0,35,0.16,0.04
2003,"New Zealand",NA,NA,37.87,2.01,5.18,3.24,40.82,3.12,0.71,436,23.62,5.35,4.29,0.41,3.86,NA,NA,NA,0,0,6.8,145.52,NA,NA,NA,NA,18.75,NA,NA,NA,0,0,56,0.15,0.03
2004,"New Zealand",NA,NA,37.24,2.07,5.16,3.27,42.51,3.23,0.73,436,26.93,6.09,3.85,0.37,3.47,NA,NA,NA,0,0,6.81,146.59,NA,NA,NA,NA,19.25,NA,NA,NA,0,0,167,0.36,0.08
2005,"New Zealand",NA,NA,38.11,2.29,5.27,3.33,42.97,3.63,0.82,436,23.33,5.28,3.58,0.35,3.23,NA,NA,NA,0,0,7,150.21,NA,NA,NA,NA,18.75,NA,NA,NA,0,0,167,0.61,0.14
2006,"New Zealand",NA,NA,38.46,2.25,5.67,3.58,43.6,3.89,0.88,489,23.57,5.33,3.68,0.36,3.31,NA,NA,NA,0,0,7.1,152.38,NA,NA,NA,NA,19.01,NA,NA,NA,0,0,170,0.62,0.14
2007,"New Zealand",NA,NA,37.25,1.71,4.83,2.98,43.76,4.09,0.92,506,23.64,5.35,4.05,0.39,3.64,NA,NA,NA,0,0,7.14,153.41,NA,NA,NA,NA,18.98,NA,NA,NA,0,0,321,0.93,0.21
2008,"New Zealand",NA,NA,38.56,2.12,4.83,2.99,43.6,4.73,1.07,629.3,22.35,5.06,3.82,0.37,3.44,NA,NA,NA,0,0,7.19,153.86,NA,NA,NA,NA,19.12,NA,NA,NA,0,0,325,1.06,0.24
2009,"New Zealand",NA,NA,35.9,1.61,4.56,2.8,43.27,5.42,1.23,629.3,24.22,5.48,3.99,0.39,3.59,NA,NA,NA,0,0,6.86,147.31,NA,NA,NA,NA,19.11,NA,NA,NA,0,0,467,1.48,0.33
2010,"New Zealand",NA,NA,36.22,1.4,5.33,3.31,44.71,6.43,1.46,769.3,24.74,5.6,4.28,0.41,3.85,NA,NA,NA,0,0,7.05,150.63,NA,NA,NA,NA,19.72,NA,NA,NA,0,0,495,1.63,0.37
2011,"New Zealand",NA,NA,35.34,1.43,4.94,3.05,44.33,6.7,1.52,769.3,25.12,5.68,3.87,0.37,3.48,NA,NA,NA,0,0,7.01,149.87,NA,NA,NA,NA,19.56,NA,NA,NA,0,0,603,1.95,0.44
2012,"New Zealand",NA,NA,37.14,1.74,4.93,3.04,44.15,6.77,1.53,769.3,22.9,5.18,4.22,0.41,3.8,NA,NA,NA,0,0,6.95,148.27,NA,NA,NA,NA,19.67,NA,NA,NA,0,0,603,2.07,0.47
2013,"New Zealand",NA,NA,37.08,1.51,4.53,2.83,43.15,7,1.58,855.1,23.05,5.22,4.44,0.43,4,NA,NA,NA,0,0,7.08,151.31,NA,NA,NA,NA,19.84,NA,NA,NA,0,0,603,2.02,0.46
1965,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Nicaragua",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
